user_id;screen_name;real_name;followers;following;fans;location;country
5520952;paulocoelho;Paulo Coelho;9170104;110;9169994;Genf;Schweiz
152987149;Thi_Alcantara91;Thiago Alcantara;2107032;123;2106909;München;Deutschland
1337785291;rogerfederer;Roger Federer;1599765;71;1599694;Schweiz;Schweiz
367971451;nurisahin05;Nuri Şahin;1184987;372;1184615;Dortmund;Deutschland
20696985;PAULVANDYK;Paul van Dyk;1154860;385;1154475;Berlin;Deutschland
348939569;KPBofficial;Kevin-Prince Boateng;1147583;123;1147460;Deutschland;Deutschland
773069256;FCBayern;FC Bayern München;1069154;20;1069134;München;Deutschland
155705264;Zedd;Zedd;1015710;142;1015568;Deutschland;Deutschland
165699676;BVB;Borussia Dortmund;909763;374;909389;Dortmund;Deutschland
342599843;MarioGoetze;Mario Götze;765030;37;764993;München;Deutschland
123381234;siggismallz;sido;698873;92;698781;Berlin;Deutschland
13951532;ProSieben;ProSieben;711207;28417;682790;48.263606, 11.562802;
157974511;SturmBoxing;Felix Sturm;608883;102;608781;Köln;Deutschland
110505828;bushido;Bushido;545142;28;545114;Berlin;Deutschland
138388408;SeppBlatter;Joseph S Blatter;540638;265;540373;Schweiz;Schweiz
361150095;woodyinho;Marco Reus;494778;30;494748;Dortmund;Deutschland
126297918;NicoMarquardt;Nico Marquardt;475771;122;475649;Potsdam;Deutschland
54502344;MercedesBenz;Mercedes-Benz;467944;616;467328;Stuttgart;Deutschland
493278212;JB17Official;Jerome Boateng;446553;76;446477;München;Deutschland
78270570;DFB_Team;DFB-Team;422226;120;422106;Frankfurt;Deutschland
18774524;sternde;stern;421622;752;420870;Hamburg;Deutschland
45122598;bundesliga_de;BUNDESLIGA;417338;37;417301;Frankfurt;Deutschland
228527029;TomasRincon5;Tomas Rincon;416274;147;416127;Hamburg;Deutschland
5715752;zeitonline;ZEIT ONLINE;394456;19;394437;Berlin;Deutschland
29206353;WWECesaro;Cesaro;390768;38;390730;Luzern;Schweiz
268434223;David_Alaba;David Alaba;387696;16;387680;München;Deutschland
1968780115;DanielPrussak;Daniel Prussak;386203;237;385966;München;Deutschland
21040811;BorisKodjoe;Boris Kodjoe;383960;1676;382284;Deutschland;Deutschland
23187593;dieternuhr;Dieter Nuhr;375109;23;375086;Ratingen;Deutschland
21476880;RTLde;RTL.de;346974;231;346743;Deutschland;Deutschland
9204502;BILD;BILD;329968;456;329512;Berlin;Deutschland
117098264;officiallyjoko;joko winterscheidt;327886;403;327483;Berlin;Deutschland
292253762;myRockworldonfb;myRockworld;330406;3029;327377;München;Deutschland
1283561876;BSchweinsteiger;Basti Schweinsteiger;323866;25;323841;Deutschland;Deutschland
2834511;SPIEGELONLINE;SPIEGEL ONLINE;313870;1125;312745;Hamburg;Deutschland
23838588;damitdasklaas;klaas heufer-umlauf;305362;614;304748;Berlin;Deutschland
111544509;RTL_DSDS;DSDS bei RTL;308802;11547;297255;Köln;Deutschland
575565118;dante_bonfim;Dante Bonfim Costa;288998;409;288589;München;Deutschland
19045458;espiekermann;erik spiekermann;287837;524;287313;Berlin;Deutschland
19232587;ntvde;n-tv;307581;23977;283604;Deutschland;Deutschland
57350105;ZDF;ZDF;283529;175;283354;Mainz;Deutschland
22811432;boysnoize;Boys Noize;281604;747;280857;Berlin;Deutschland
14140057;ARTEfr;ARTE;263658;1801;261857;Baden-Baden;Deutschland
5734902;tagesschau;tagesschau;257447;64;257383;Hamburg;Deutschland
74970474;WalidMusic;WALID;249426;10;249416;Deutschland;Deutschland
17656125;Gronkh;Gronkh;248787;114;248673;Deutschland;Deutschland
8720562;welt;DIE WELT;242023;125;241898;Berlin;Deutschland
105801959;OneDirectionGER;OneDirection Germany;234324;3534;230790;Deutschland;Deutschland
17875811;SPIEGEL_Top;SPIEGEL ONLINE Top;219372;22;219350;Hamburg;Deutschland
586950556;LGustavo_22;LuizGustavOficial;210212;172;210040;Deutschland;Deutschland
241695415;Lenas_view;Lena Meyer-Landrut;207956;323;207633;Köln;Deutschland
10971502;FXStefan;Stefan Stredak;468072;262759;205313;Deutschland;Deutschland
20100889;svenvaeth;Sven Väth;202183;49;202134;Frankfurt;Deutschland
114508061;SZ;Süddeutsche Zeitung;199120;269;198851;München;Deutschland
110665708;ChristopherIsak;Christopher Isak;192793;244;192549;Frankfurt;Deutschland
